date,tournament,home_team,away_team,home_score,away_score,neutral
2016-01-03,SAFF Cup,India,Afghanistan,2.0,1.0,False
2016-01-06,Friendly,Rwanda,Cameroon,1.0,1.0,False
2016-01-06,Friendly,Sweden,Estonia,1.0,1.0,True
2016-01-08,Friendly,Bangladesh,Sri Lanka,4.0,2.0,False
2016-01-08,Copa América qualification,Trinidad and Tobago,Haiti,0.0,1.0,True
2016-01-08,Copa América qualification,Panama,Cuba,4.0,0.0,False
2016-01-10,Friendly,Rwanda,DR Congo,1.0,0.0,False
2016-01-10,Friendly,Sweden,Finland,3.0,0.0,True
2016-01-11,Friendly,Maldives,Cambodia,3.0,2.0,True
2016-01-13,Friendly,Finland,Iceland,0.0,1.0,True
2016-01-13,Friendly,Nepal,Sri Lanka,1.0,0.0,True
2016-01-13,Friendly,Uganda,Cameroon,0.0,0.0,False
2016-01-15,Friendly,Bangladesh,Nepal,0.0,0.0,False
2016-01-16,Friendly,United Arab Emirates,Iceland,2.0,1.0,False
2016-01-19,Friendly,Maldives,Nepal,1.0,4.0,True
2016-01-27,Friendly,Egypt,Jordan,0.0,1.0,False
2016-01-29,Friendly,Egypt,Libya,2.0,0.0,False
2016-01-31,Friendly,United States,Iceland,3.0,2.0,False
2016-02-05,Friendly,Bahrain,Lebanon,2.0,0.0,False
2016-02-06,Friendly,Guadeloupe,Martinique,1.0,1.0,False
2016-02-14,Friendly,Uzbekistan,Lebanon,2.0,0.0,True
2016-02-21,Friendly,Guyana,Suriname,2.0,0.0,False
2016-02-25,Friendly,French Guiana,Suriname,2.0,3.0,False
2016-02-27,Friendly,Egypt,Burkina Faso,2.0,0.0,False
2016-03-13,Friendly,Sint Maarten,Anguilla,2.0,0.0,False
2016-03-13,ConIFA Challenger Cup,Tamil Eelam,Romani people,4.0,1.0,True
2016-03-18,Friendly,Iraq,Syria,0.0,1.0,True
2016-03-18,Friendly,United Arab Emirates,Bangladesh,6.0,1.0,False
2016-03-22,CFU Caribbean Cup qualification,Cuba,Bermuda,2.0,1.0,False
2016-03-23,CFU Caribbean Cup qualification,Antigua and Barbuda,Aruba,2.0,1.0,False
2016-03-23,CFU Caribbean Cup qualification,Barbados,Curaçao,1.0,0.0,False
2016-03-23,Friendly,Croatia,Israel,2.0,0.0,False
2016-03-23,Friendly,Gibraltar,Liechtenstein,0.0,0.0,False
2016-03-23,CFU Caribbean Cup qualification,Guadeloupe,Suriname,0.0,0.0,False
2016-03-23,African Cup of Nations qualification,Guinea-Bissau,Kenya,1.0,0.0,False
2016-03-23,CFU Caribbean Cup qualification,Martinique,British Virgin Islands,3.0,0.0,False
2016-03-23,Friendly,Poland,Serbia,1.0,0.0,False
2016-03-23,Friendly,Romania,Lithuania,1.0,0.0,False
2016-03-23,African Cup of Nations qualification,São Tomé and Príncipe,Libya,2.0,1.0,False
2016-03-23,Friendly,Slovenia,North Macedonia,1.0,0.0,False
2016-03-23,African Cup of Nations qualification,South Sudan,Benin,1.0,2.0,False
2016-03-23,African Cup of Nations qualification,Zambia,Congo,1.0,1.0,False
2016-03-24,FIFA World Cup qualification,Australia,Tajikistan,7.0,0.0,False
2016-03-24,FIFA World Cup qualification,Bahrain,Yemen,3.0,0.0,False
2016-03-24,FIFA World Cup qualification,Bolivia,Colombia,2.0,3.0,False
2016-03-24,FIFA World Cup qualification,Chile,Argentina,1.0,2.0,False
2016-03-24,FIFA World Cup qualification,China,Maldives,4.0,0.0,False
2016-03-24,African Cup of Nations qualification,Comoros,Botswana,1.0,0.0,False
2016-03-24,Friendly,Czech Republic,Scotland,0.0,1.0,False
2016-03-24,Friendly,Denmark,Iceland,2.0,1.0,False
2016-03-24,African Cup of Nations qualification,Djibouti,Liberia,0.0,1.0,False
2016-03-24,FIFA World Cup qualification,Ecuador,Paraguay,2.0,2.0,False
2016-03-24,Friendly,Estonia,Norway,0.0,0.0,False
2016-03-24,African Cup of Nations qualification,Ghana,Mozambique,3.0,1.0,False
2016-03-24,Friendly,Greece,Montenegro,2.0,1.0,False
2016-03-24,FIFA World Cup qualification,Iran,India,4.0,0.0,False
2016-03-24,FIFA World Cup qualification,Iraq,Thailand,2.0,2.0,True
2016-03-24,Friendly,Italy,Spain,1.0,1.0,False
2016-03-24,FIFA World Cup qualification,Japan,Afghanistan,5.0,0.0,False
2016-03-24,FIFA World Cup qualification,Jordan,Bangladesh,8.0,0.0,False
2016-03-24,FIFA World Cup qualification,South Korea,Lebanon,1.0,0.0,False
2016-03-24,African Cup of Nations qualification,Madagascar,Central African Republic,1.0,1.0,False
2016-03-24,Friendly,Malta,Moldova,0.0,0.0,False
2016-03-24,FIFA World Cup qualification,Oman,Guam,1.0,0.0,False
2016-03-24,FIFA World Cup qualification,Peru,Venezuela,2.0,2.0,False
2016-03-24,FIFA World Cup qualification,Qatar,Hong Kong,2.0,0.0,False
2016-03-24,FIFA World Cup qualification,Saudi Arabia,Malaysia,2.0,0.0,False
2016-03-24,Friendly,Singapore,Myanmar,2.0,1.0,False
2016-03-24,Friendly,Solomon Islands,Papua New Guinea,2.0,0.0,False
2016-03-24,FIFA World Cup qualification,Syria,Cambodia,6.0,0.0,True
2016-03-24,Friendly,Turkey,Sweden,2.0,1.0,False
2016-03-24,Friendly,Ukraine,Cyprus,1.0,0.0,False
2016-03-24,FIFA World Cup qualification,United Arab Emirates,Palestine,2.0,0.0,False
2016-03-24,FIFA World Cup qualification,Uzbekistan,Philippines,1.0,0.0,False
2016-03-24,FIFA World Cup qualification,Vietnam,Taiwan,4.0,1.0,False
2016-03-24,Friendly,Wales,Northern Ireland,1.0,1.0,False
2016-03-25,African Cup of Nations qualification,Algeria,Ethiopia,7.0,1.0,False
2016-03-25,Friendly,Armenia,Belarus,0.0,0.0,False
2016-03-25,FIFA World Cup qualification,Brazil,Uruguay,2.0,2.0,False
2016-03-25,FIFA World Cup qualification,Canada,Mexico,0.0,3.0,False
2016-03-25,FIFA World Cup qualification,El Salvador,Honduras,2.0,2.0,False
2016-03-25,Friendly,Gabon,Sierra Leone,2.0,1.0,False
2016-03-25,FIFA World Cup qualification,Guatemala,United States,2.0,0.0,False
2016-03-25,African Cup of Nations qualification,Guinea,Malawi,0.0,0.0,False
2016-03-25,FIFA World Cup qualification,Haiti,Panama,0.0,0.0,False
2016-03-25,Friendly,Republic of Ireland,Switzerland,1.0,0.0,False
2016-03-25,African Cup of Nations qualification,Ivory Coast,Sudan,1.0,0.0,False
2016-03-25,FIFA World Cup qualification,Jamaica,Costa Rica,1.0,1.0,False
2016-03-25,Friendly,Luxembourg,Bosnia and Herzegovina,0.0,3.0,False
2016-03-25,African Cup of Nations qualification,Mali,Equatorial Guinea,1.0,0.0,False
2016-03-25,African Cup of Nations qualification,Mauritania,Gambia,2.0,1.0,False
2016-03-25,Friendly,Netherlands,France,2.0,3.0,False
2016-03-25,African Cup of Nations qualification,Nigeria,Egypt,1.0,1.0,False
2016-03-25,Friendly,Portugal,Bulgaria,0.0,1.0,False
2016-03-25,Friendly,Slovakia,Latvia,0.0,0.0,False
2016-03-25,African Cup of Nations qualification,Eswatini,Zimbabwe,1.0,1.0,False
2016-03-25,African Cup of Nations qualification,Tunisia,Togo,1.0,0.0,False
2016-03-25,FIFA World Cup qualification,Saint Vincent and the Grenadines,Trinidad and Tobago,2.0,3.0,False
2016-03-26,CFU Caribbean Cup qualification,Anguilla,Puerto Rico,0.0,4.0,False
2016-03-26,CFU Caribbean Cup qualification,Aruba,Saint Kitts and Nevis,0.0,2.0,False
2016-03-26,Friendly,Austria,Albania,2.0,1.0,False
2016-03-26,Friendly,Azerbaijan,Kazakhstan,0.0,1.0,True
2016-03-26,CFU Caribbean Cup qualification,Bermuda,French Guiana,2.0,1.0,False
2016-03-26,CFU Caribbean Cup qualification,British Virgin Islands,Dominica,0.0,7.0,False
2016-03-26,African Cup of Nations qualification,Burkina Faso,Uganda,1.0,0.0,False
2016-03-26,African Cup of Nations qualification,Burundi,Namibia,1.0,3.0,False
2016-03-26,African Cup of Nations qualification,Cameroon,South Africa,2.0,2.0,False
2016-03-26,African Cup of Nations qualification,Cape Verde,Morocco,0.0,1.0,False
2016-03-26,African Cup of Nations qualification,DR Congo,Angola,2.0,1.0,False
2016-03-26,African Cup of Nations qualification,Zimbabwe,Eswatini,4.0,0.0,False
2016-03-26,CFU Caribbean Cup qualification,Curaçao,Dominican Republic,2.0,1.0,False
2016-03-26,Friendly,Germany,England,2.0,3.0,False
2016-03-26,Friendly,Hungary,Croatia,1.0,1.0,False
2016-03-26,African Cup of Nations qualification,Mauritius,Rwanda,1.0,0.0,False
2016-03-26,Friendly,Poland,Finland,5.0,0.0,False
2016-03-26,Friendly,Russia,Lithuania,3.0,0.0,False
2016-03-26,African Cup of Nations qualification,Senegal,Niger,2.0,0.0,False
2016-03-26,African Cup of Nations qualification,Seychelles,Lesotho,2.0,0.0,False
2016-03-26,CFU Caribbean Cup qualification,Sint Maarten,United States Virgin Islands,1.0,2.0,False
2016-03-27,African Cup of Nations qualification,Benin,South Sudan,4.0,1.0,False
2016-03-27,African Cup of Nations qualification,Botswana,Comoros,2.0,1.0,False
2016-03-27,African Cup of Nations qualification,Congo,Zambia,1.0,1.0,False
2016-03-27,African Cup of Nations qualification,Kenya,Guinea-Bissau,0.0,1.0,False
2016-03-27,African Cup of Nations qualification,Mozambique,Ghana,0.0,0.0,False
2016-03-27,Friendly,Romania,Spain,0.0,0.0,False
2016-03-27,Friendly,Thailand,South Korea,0.0,1.0,False
2016-03-28,Friendly,Andorra,Moldova,0.0,1.0,True
2016-03-28,African Cup of Nations qualification,Central African Republic,Madagascar,2.0,1.0,False
2016-03-28,African Cup of Nations qualification,Equatorial Guinea,Mali,0.0,1.0,False
2016-03-28,African Cup of Nations qualification,Libya,São Tomé and Príncipe,4.0,0.0,True
2016-03-28,Friendly,Liechtenstein,Faroe Islands,2.0,3.0,True
2016-03-28,Friendly,Northern Ireland,Slovenia,1.0,0.0,False
2016-03-28,Friendly,Sierra Leone,Gabon,1.0,0.0,False
2016-03-28,Friendly,Ukraine,Wales,1.0,0.0,False
2016-03-29,FIFA World Cup qualification,Afghanistan,Singapore,2.0,1.0,True
2016-03-29,African Cup of Nations qualification,Angola,DR Congo,0.0,2.0,False
2016-03-29,FIFA World Cup qualification,Argentina,Bolivia,2.0,0.0,False
2016-03-29,FIFA World Cup qualification,Australia,Jordan,5.0,1.0,False
2016-03-29,Friendly,Austria,Turkey,1.0,2.0,False
2016-03-29,FIFA World Cup qualification,China,Qatar,2.0,0.0,False
2016-03-29,FIFA World Cup qualification,Colombia,Ecuador,3.0,1.0,False
2016-03-29,FIFA World Cup qualification,Costa Rica,Jamaica,3.0,0.0,False
2016-03-29,CFU Caribbean Cup qualification,Dominica,Martinique,1.0,4.0,False
2016-03-29,CFU Caribbean Cup qualification,Dominican Republic,Barbados,2.0,0.0,False
2016-03-29,African Cup of Nations qualification,Egypt,Nigeria,1.0,0.0,False
2016-03-29,Friendly,England,Netherlands,1.0,2.0,False
2016-03-29,Friendly,Estonia,Serbia,0.0,1.0,False
2016-03-29,African Cup of Nations qualification,Ethiopia,Algeria,3.0,3.0,False
2016-03-29,Friendly,France,Russia,4.0,2.0,False
2016-03-29,CFU Caribbean Cup qualification,French Guiana,Cuba,3.0,0.0,False
2016-03-29,African Cup of Nations qualification,Gambia,Mauritania,0.0,0.0,False
2016-03-29,Friendly,Georgia,Kazakhstan,1.0,1.0,False
2016-03-29,Friendly,Germany,Italy,4.0,1.0,False
2016-03-29,Friendly,Gibraltar,Latvia,0.0,5.0,False
2016-03-29,Friendly,Greece,Iceland,2.0,3.0,False
2016-03-29,FIFA World Cup qualification,Honduras,El Salvador,2.0,0.0,False
2016-03-29,FIFA World Cup qualification,India,Turkmenistan,1.0,2.0,False
2016-03-29,FIFA World Cup qualification,Iran,Oman,2.0,0.0,False
2016-03-29,FIFA World Cup qualification,Iraq,Vietnam,1.0,0.0,True
2016-03-29,Friendly,Republic of Ireland,Slovakia,2.0,2.0,False
2016-03-29,FIFA World Cup qualification,Japan,Syria,5.0,0.0,False
2016-03-29,FIFA World Cup qualification,Lebanon,Myanmar,1.0,1.0,False
2016-03-29,African Cup of Nations qualification,Lesotho,Seychelles,2.0,1.0,False
2016-03-29,African Cup of Nations qualification,Liberia,Djibouti,5.0,0.0,False
2016-03-29,Friendly,Luxembourg,Albania,0.0,2.0,False
2016-03-29,Friendly,North Macedonia,Bulgaria,0.0,2.0,False
2016-03-29,African Cup of Nations qualification,Malawi,Guinea,1.0,2.0,False
2016-03-29,Friendly,Malaysia,Macau,0.0,0.0,False
2016-03-29,FIFA World Cup qualification,Maldives,Bhutan,4.0,2.0,False
2016-03-29,FIFA World Cup qualification,Mexico,Canada,2.0,0.0,False
2016-03-29,Friendly,Montenegro,Belarus,0.0,0.0,False
2016-03-29,African Cup of Nations qualification,Morocco,Cape Verde,2.0,0.0,False
2016-03-29,African Cup of Nations qualification,Namibia,Burundi,1.0,3.0,False
2016-03-29,African Cup of Nations qualification,Niger,Senegal,1.0,2.0,False
2016-03-29,Friendly,Norway,Finland,2.0,0.0,False
2016-03-29,FIFA World Cup qualification,Palestine,Timor-Leste,7.0,0.0,False
2016-03-29,FIFA World Cup qualification,Panama,Haiti,1.0,0.0,False
2016-03-29,FIFA World Cup qualification,Paraguay,Brazil,2.0,2.0,False
2016-03-29,FIFA World Cup qualification,Philippines,North Korea,3.0,2.0,False
2016-03-29,Friendly,Portugal,Belgium,2.0,1.0,False
2016-03-29,African Cup of Nations qualification,Rwanda,Mauritius,5.0,0.0,False
2016-03-29,Friendly,Scotland,Denmark,1.0,0.0,False
2016-03-29,African Cup of Nations qualification,South Africa,Cameroon,0.0,0.0,False
2016-03-29,CFU Caribbean Cup qualification,Saint Kitts and Nevis,Antigua and Barbuda,1.0,0.0,False
2016-03-29,African Cup of Nations qualification,Sudan,Ivory Coast,1.0,1.0,False
2016-03-29,CFU Caribbean Cup qualification,Suriname,Guadeloupe,3.0,2.0,False
2016-03-29,Friendly,Sweden,Czech Republic,1.0,1.0,False
2016-03-29,Friendly,Switzerland,Bosnia and Herzegovina,0.0,2.0,False
2016-03-29,FIFA World Cup qualification,Tajikistan,Kyrgyzstan,0.0,1.0,False
2016-03-29,African Cup of Nations qualification,Togo,Tunisia,0.0,0.0,False
2016-03-29,African Cup of Nations qualification,Uganda,Burkina Faso,0.0,0.0,False
2016-03-29,FIFA World Cup qualification,United Arab Emirates,Saudi Arabia,1.0,1.0,False
2016-03-29,FIFA World Cup qualification,Uruguay,Peru,1.0,0.0,False
2016-03-29,FIFA World Cup qualification,United States,Guatemala,4.0,0.0,False
2016-03-29,FIFA World Cup qualification,Uzbekistan,Bahrain,1.0,0.0,False
2016-03-29,FIFA World Cup qualification,Venezuela,Chile,1.0,4.0,False
2016-03-29,CFU Caribbean Cup qualification,United States Virgin Islands,Grenada,1.0,2.0,False
2016-03-29,FIFA World Cup qualification,Trinidad and Tobago,Saint Vincent and the Grenadines,6.0,0.0,False
2016-04-02,Muratti Vase,Alderney,Guernsey,0.0,1.0,False
2016-04-24,Friendly,Panjab,Jersey,0.0,2.0,False
2016-04-27,Friendly,Martinique,Panama,0.0,2.0,False
2016-05-14,Muratti Vase,Jersey,Guernsey,1.0,0.0,False
2016-05-16,Friendly,Romani people,Padania,0.0,2.0,True
2016-05-20,Friendly,Hungary,Ivory Coast,0.0,0.0,False
2016-05-20,Friendly,Galicia,Venezuela,1.0,1.0,False
2016-05-21,Friendly,Botswana,Lesotho,2.0,1.0,False
2016-05-21,Friendly,Abkhazia,Donetsk PR,0.0,0.0,False
2016-05-22,Friendly,England,Turkey,2.0,1.0,False
2016-05-22,Friendly,Puerto Rico,United States,1.0,3.0,False
2016-05-23,Friendly,Peru,Trinidad and Tobago,4.0,0.0,False
2016-05-25,Friendly,Romania,DR Congo,1.0,1.0,True
2016-05-25,Friendly,Serbia,Cyprus,2.0,1.0,False
2016-05-26,Friendly,Azerbaijan,Andorra,0.0,0.0,True
2016-05-27,Friendly,Croatia,Moldova,1.0,0.0,False
2016-05-27,Friendly,Czech Republic,Malta,6.0,0.0,True
2016-05-27,Friendly,England,Australia,2.0,1.0,False
2016-05-27,Friendly,Republic of Ireland,Netherlands,1.0,1.0,False
2016-05-27,Friendly,Morocco,Congo,2.0,0.0,False
2016-05-27,Friendly,Nigeria,Mali,1.0,0.0,True
2016-05-27,Friendly,Northern Ireland,Belarus,3.0,0.0,False
2016-05-27,Friendly,Slovakia,Georgia,3.0,1.0,True
2016-05-27,Friendly,Togo,Zambia,1.0,0.0,False
2016-05-27,Friendly,Uruguay,Trinidad and Tobago,3.0,1.0,False
2016-05-27,Friendly,Corsica,Basque Country,1.0,1.0,False
2016-05-28,Friendly,Myanmar,Malaysia,0.0,0.0,False
2016-05-28,Friendly,Costa Rica,Venezuela,2.0,1.0,False
2016-05-28,Friendly,El Salvador,Peru,1.0,3.0,True
2016-05-28,Friendly,Gabon,Mauritania,0.0,2.0,True
2016-05-28,Friendly,Guatemala,Armenia,1.0,7.0,True
2016-05-28,Friendly,Mexico,Paraguay,1.0,0.0,True
2016-05-28,Oceania Nations Cup,New Zealand,Fiji,3.0,1.0,True
2016-05-28,Friendly,Rwanda,Senegal,0.0,2.0,False
2016-05-28,Friendly,Switzerland,Belgium,1.0,2.0,False
2016-05-28,Oceania Nations Cup,Vanuatu,Solomon Islands,0.0,1.0,True
2016-05-29,Friendly,Albania,Qatar,3.0,1.0,True
2016-05-29,Friendly,Azerbaijan,North Macedonia,1.0,3.0,True
2016-05-29,Friendly,Bosnia and Herzegovina,Spain,1.0,3.0,True
2016-05-29,Friendly,Cambodia,Timor-Leste,2.0,0.0,False
2016-05-29,Friendly,Germany,Slovakia,1.0,3.0,False
2016-05-29,Friendly,Italy,Scotland,1.0,0.0,True
2016-05-29,Friendly,Kenya,Tanzania,1.0,1.0,False
2016-05-29,Friendly,Laos,Nepal,1.0,1.0,False
2016-05-29,Baltic Cup,Lithuania,Estonia,2.0,0.0,False
2016-05-29,Oceania Nations Cup,Papua New Guinea,New Caledonia,1.0,1.0,False
2016-05-29,Friendly,Portugal,Norway,3.0,0.0,False
2016-05-29,Friendly,Romania,Ukraine,3.0,4.0,True
2016-05-29,Oceania Nations Cup,Tahiti,Samoa,4.0,0.0,True
2016-05-29,Friendly,Turkey,Montenegro,1.0,0.0,False
2016-05-29,CONIFA World Football Cup,Abkhazia,Chagos Islands,9.0,0.0,False
2016-05-29,CONIFA World Football Cup,Iraqi Kurdistan,Székely Land,3.0,0.0,True
2016-05-29,CONIFA World Football Cup,Padania,Northern Cyprus,1.0,2.0,True
2016-05-29,CONIFA World Football Cup,Sápmi,Somaliland,5.0,0.0,True
2016-05-30,Friendly,France,Cameroon,3.0,2.0,False
2016-05-30,Friendly,Gambia,Zambia,0.0,0.0,False
2016-05-30,Friendly,Sweden,Slovenia,0.0,0.0,False
2016-05-30,CONIFA World Football Cup,Chagos Islands,Western Armenia,0.0,12.0,True
2016-05-30,CONIFA World Football Cup,United Koreans in Japan,Székely Land,1.0,0.0,True
2016-05-30,CONIFA World Football Cup,Raetia,Padania,0.0,6.0,True
2016-05-30,CONIFA World Football Cup,Sápmi,Panjab,0.0,1.0,True
2016-05-31,Friendly,Austria,Malta,2.0,1.0,False
2016-05-31,Friendly,Republic of Ireland,Belarus,1.0,2.0,False
2016-05-31,Friendly,Kenya,Sudan,1.0,1.0,False
2016-05-31,Friendly,Luxembourg,Nigeria,1.0,3.0,False
2016-05-31,Friendly,Serbia,Israel,3.0,1.0,False
2016-05-31,Oceania Nations Cup,Solomon Islands,Fiji,0.0,1.0,True
2016-05-31,Oceania Nations Cup,Vanuatu,New Zealand,0.0,5.0,True
2016-05-31,Friendly,Vietnam,Syria,2.0,0.0,False
2016-05-31,Friendly,Zimbabwe,Uganda,2.0,0.0,False
2016-05-31,CONIFA World Football Cup,Abkhazia,Western Armenia,1.0,0.0,False
2016-05-31,CONIFA World Football Cup,United Koreans in Japan,Iraqi Kurdistan,0.0,3.0,True
2016-05-31,CONIFA World Football Cup,Northern Cyprus,Raetia,7.0,0.0,True
2016-05-31,CONIFA World Football Cup,Somaliland,Panjab,0.0,5.0,True
2016-06-01,Friendly,Belgium,Finland,1.0,1.0,False
2016-06-01,CFU Caribbean Cup qualification,Curaçao,Guyana,5.0,2.0,False
2016-06-01,Friendly,Czech Republic,Russia,2.0,1.0,True
2016-06-01,Friendly,El Salvador,Armenia,0.0,4.0,True
2016-06-01,Friendly,Estonia,Andorra,2.0,0.0,False
2016-06-01,CFU Caribbean Cup qualification,Grenada,Puerto Rico,3.0,3.0,False
2016-06-01,Baltic Cup,Latvia,Lithuania,2.0,1.0,False
2016-06-01,CFU Caribbean Cup qualification,Martinique,Guadeloupe,2.0,0.0,False
2016-06-01,Oceania Nations Cup,New Caledonia,Samoa,7.0,0.0,True
2016-06-01,Friendly,Norway,Iceland,3.0,2.0,False
2016-06-01,Oceania Nations Cup,Papua New Guinea,Tahiti,2.0,2.0,False
2016-06-01,Friendly,Poland,Netherlands,1.0,2.0,False
2016-06-01,Friendly,Spain,South Korea,6.0,1.0,True
2016-06-01,CFU Caribbean Cup qualification,Saint Kitts and Nevis,Suriname,1.0,0.0,False
2016-06-01,CONIFA World Football Cup,United Koreans in Japan,Northern Cyprus,1.0,1.0,True
2016-06-01,CONIFA World Football Cup,Abkhazia,Sápmi,2.0,0.0,False
2016-06-02,Friendly,England,Portugal,1.0,0.0,False
2016-06-02,AFC Asian Cup qualification,Laos,India,0.0,1.0,False
2016-06-02,Friendly,North Macedonia,Iran,1.0,3.0,False
2016-06-02,AFC Asian Cup qualification,Malaysia,Timor-Leste,3.0,0.0,False
2016-06-02,AFC Asian Cup qualification,Maldives,Yemen,0.0,2.0,False
2016-06-02,African Cup of Nations qualification,Seychelles,Algeria,0.0,2.0,False
2016-06-02,AFC Asian Cup qualification,Tajikistan,Bangladesh,5.0,0.0,False
2016-06-02,CONIFA World Football Cup,Iraqi Kurdistan,Padania,2.0,2.0,True
2016-06-02,CONIFA World Football Cup,Western Armenia,Panjab,2.0,3.0,True
2016-06-02,CONIFA World Football Cup,Chagos Islands,Somaliland,2.0,3.0,True
2016-06-02,CONIFA World Football Cup,Székely Land,Raetia,7.0,0.0,True
2016-06-03,Friendly,Albania,Ukraine,1.0,3.0,True
2016-06-03,Friendly,Azerbaijan,Canada,1.0,1.0,True
2016-06-03,Kirin Cup,Bosnia and Herzegovina,Denmark,2.0,2.0,True
2016-06-03,Friendly,Myanmar,Singapore,0.0,1.0,False
2016-06-03,Friendly,China,Trinidad and Tobago,4.0,2.0,False
2016-06-03,African Cup of Nations qualification,Djibouti,Tunisia,0.0,3.0,False
2016-06-03,Friendly,Faroe Islands,Kosovo,0.0,2.0,True
2016-06-03,Kirin Cup,Japan,Bulgaria,7.0,2.0,False
2016-06-03,African Cup of Nations qualification,Libya,Morocco,1.0,1.0,True
2016-06-03,African Cup of Nations qualification,Mauritania,Cameroon,0.0,1.0,False
2016-06-03,Friendly,Romania,Georgia,5.0,1.0,False
2016-06-03,African Cup of Nations qualification,Sierra Leone,Sudan,1.0,0.0,False
2016-06-03,Friendly,Switzerland,Moldova,2.0,1.0,False
2016-06-03,King's Cup,Thailand,Syria,2.0,2.0,False
2016-06-03,King's Cup,United Arab Emirates,Jordan,1.0,3.0,True
2016-06-03,Copa América,United States,Colombia,0.0,2.0,False
2016-06-03,Friendly,Vietnam,Hong Kong,2.0,2.0,True
2016-06-03,CONIFA World Football Cup,United Koreans in Japan,Sápmi,1.0,2.0,True
2016-06-03,CONIFA World Football Cup,Iraqi Kurdistan,Western Armenia,0.0,0.0,True
2016-06-03,CONIFA World Football Cup,Chagos Islands,Raetia,3.0,3.0,True
2016-06-03,CONIFA World Football Cup,Somaliland,Székely Land,7.0,0.0,True
2016-06-04,Friendly,Australia,Greece,1.0,0.0,False
2016-06-04,Friendly,Austria,Netherlands,0.0,2.0,False
2016-06-04,African Cup of Nations qualification,Botswana,Uganda,1.0,2.0,False
2016-06-04,African Cup of Nations qualification,Burundi,Senegal,0.0,2.0,False
2016-06-04,Copa América,Brazil,Ecuador,0.0,0.0,True
2016-06-04,Copa América,Costa Rica,Paraguay,0.0,0.0,True
2016-06-04,Friendly,Croatia,San Marino,10.0,0.0,False
2016-06-04,Baltic Cup,Estonia,Latvia,0.0,0.0,False
2016-06-04,Oceania Nations Cup,Fiji,Vanuatu,2.0,3.0,True
2016-06-04,Friendly,France,Scotland,3.0,0.0,False
2016-06-04,African Cup of Nations qualification,Gambia,South Africa,0.0,4.0,False
2016-06-04,Friendly,Germany,Hungary,2.0,0.0,False
2016-06-04,CFU Caribbean Cup qualification,Guadeloupe,Dominica,2.0,1.0,False
2016-06-04,Copa América,Haiti,Peru,0.0,1.0,True
2016-06-04,Friendly,Ivory Coast,Gabon,2.0,1.0,False
2016-06-04,Oceania Nations Cup,New Zealand,Solomon Islands,1.0,0.0,True
2016-06-04,African Cup of Nations qualification,Rwanda,Mozambique,2.0,3.0,False
2016-06-04,African Cup of Nations qualification,Namibia,Niger,1.0,0.0,False
2016-06-04,African Cup of Nations qualification,Guinea-Bissau,Zambia,3.0,2.0,False
2016-06-04,Friendly,Slovakia,Northern Ireland,0.0,0.0,False
2016-06-04,African Cup of Nations qualification,São Tomé and Príncipe,Cape Verde,1.0,2.0,False
2016-06-04,African Cup of Nations qualification,South Sudan,Mali,0.0,3.0,False
2016-06-04,African Cup of Nations qualification,Tanzania,Egypt,0.0,2.0,False
2016-06-04,CFU Caribbean Cup qualification,United States Virgin Islands,Guyana,0.0,7.0,False
2016-06-04,CONIFA World Football Cup,Abkhazia,Northern Cyprus,2.0,0.0,False
2016-06-04,CONIFA World Football Cup,Padania,Panjab,1.0,0.0,True
2016-06-04,CONIFA World Football Cup,United Koreans in Japan,Iraqi Kurdistan,1.0,1.0,True
2016-06-04,CONIFA World Football Cup,Sápmi,Western Armenia,3.0,0.0,True
2016-06-05,Friendly,Belgium,Norway,3.0,2.0,False
2016-06-05,African Cup of Nations qualification,Central African Republic,Angola,3.0,0.0,False
2016-06-05,African Cup of Nations qualification,Comoros,Burkina Faso,0.0,1.0,False
2016-06-05,Friendly,Czech Republic,South Korea,1.0,2.0,False
2016-06-05,Copa América,Jamaica,Venezuela,0.0,1.0,True
2016-06-05,African Cup of Nations qualification,Kenya,Congo,2.0,1.0,False
2016-06-05,African Cup of Nations qualification,Lesotho,Ethiopia,1.0,2.0,False
2016-06-05,African Cup of Nations qualification,Liberia,Togo,2.0,2.0,False
2016-06-05,African Cup of Nations qualification,Madagascar,DR Congo,1.0,6.0,False
2016-06-05,African Cup of Nations qualification,Mauritius,Ghana,0.0,2.0,False
2016-06-05,Copa América,Mexico,Uruguay,3.0,1.0,True
2016-06-05,Oceania Nations Cup,Papua New Guinea,Samoa,8.0,0.0,False
2016-06-05,Friendly,Russia,Serbia,1.0,1.0,True
2016-06-05,Friendly,Slovenia,Turkey,0.0,1.0,False
2016-06-05,African Cup of Nations qualification,Eswatini,Guinea,1.0,0.0,False
2016-06-05,Friendly,Sweden,Wales,3.0,0.0,False
2016-06-05,Oceania Nations Cup,Tahiti,New Caledonia,1.0,1.0,True
2016-06-05,King's Cup,Thailand,Jordan,2.0,0.0,False
2016-06-05,King's Cup,United Arab Emirates,Syria,0.0,1.0,True
2016-06-05,African Cup of Nations qualification,Zimbabwe,Malawi,3.0,0.0,False
2016-06-05,CONIFA World Football Cup,Padania,Northern Cyprus,0.0,2.0,True
2016-06-05,CONIFA World Football Cup,Abkhazia,Panjab,1.0,1.0,False
2016-06-06,Copa América,Argentina,Chile,2.0,1.0,True
2016-06-06,Friendly,Myanmar,Hong Kong,3.0,0.0,False
